file,#,organization-name,city-state,organization-type,position-held,from,to
"Senate-confirmed/Kan, Derek T",2,Amtrak,"Washington, District of Columbia",Corporation,Board Member,12/2015,Present
"Senate-confirmed/Kan, Derek T",3,Story and Heart,"Portland, Oregon",Corporation,Advisor,9/2015,5/2016
"Senate-confirmed/Kan, Derek T",4,GenapSys,"Redwood City, California",Corporation,Director of Strategy,7/2014,7/2015
"Senate-confirmed/Kan, Derek T",5,Los Angeles County Auto Show,"Los Angeles, California",Corporation,Advisory Board Member,1/2016,3/2017
"Senate-confirmed/Kan, Derek T",6,GLG Research,"New York, New York",Corporation,Consultant,1/2016,4/2017
"Senate-confirmed/Kan, Derek T",7,Family Revocable Trust,"San Gabriel, California",Family Trust,Trustee,6/2014,Present
"Senate-confirmed/Kelly, John F",1,DynCorp,"McLean, Virginia",Corporation,Advisor,6/2016,Present
"Senate-confirmed/Kelly, John F",2,DC Capital Partners,"Alexandria, Virginia",Corporation,"Member, Board of Advisors",2/2016,Present
"Senate-confirmed/Kelly, John F",3,Flatter & Associates,"Fredericksburg, Virginia",Corporation,Independent Contractor (serves as a Senior Fellow with National Defense University),4/2016,Present
"Senate-confirmed/Kelly, John F",4,Beacon Global Strategies,"Washington, District of Columbia",Corporation,Advisor,10/2016,Present
"Senate-confirmed/Kelly, John F",5,"Oak Square Perspectives, LLC (inactive general consulting business)","Woodbridge, Virginia",Corporation,Managing Member,5/2016,Present
"Senate-confirmed/Kelly, John F",6,"Michael Baker International, LLC","Pittsburg, Pennsylvania",Corporation,"Member, Board of Directors",6/2016,Present
"Senate-confirmed/Lighthizer, Robert E",1,"Skadden, Arps, Slate, Meagher & Flom LLP","Washington, District of Columbia",Law Firm,Partner,6/1985,Present
"Senate-confirmed/Lighthizer, Robert E",2,Family Irrevocable Trust,"Washington, District of Columbia",Trust,Co-trustee,12/2012,Present
"Senate-confirmed/Lighthizer, Robert E",3,Executor of spouse's estate,"Washington, District of Columbia",estate,Executor,6/2014,Present
"Senate-confirmed/Long, William B",1,Hagerty Consulting Inc,"Evanston, Illinois",Corporation,Executive Vice President,2/2011,Present
"Senate-confirmed/Mattis, James N",1,Hoover Institution,"Stanford, California",Think tank,Distinguished Visiting Fellow,11/2013,Present
"Senate-confirmed/Mattis, James N",2,Theranos,"Palo Alto, California",Corporation,Board Member,7/2013,12/2016
"Senate-confirmed/Mattis, James N",3,General Dynamics,"Falls Church, Virginia",Corporation,Board Member,8/2013,Present
"Senate-confirmed/Mattis, James N",4,Center for a New American Security,"Washington, District of Columbia",Think tank,Board Member,12/2014,Present
"Senate-confirmed/Mattis, James N",5,Tri-Cities Food Bank,"Kennewick, Washington",Non-Profit,Board Member,5/2014,Present
"Senate-confirmed/Mattis, James N",6,Marines' Memorial Club,"San Francisco, California",Non-Profit,Board Member (Emeritus),12/2015,Present
"Senate-confirmed/Mattis, James N",7,Marine Corps Scholarship Foundation,"Alexandria, Virginia",Non-Profit,Board Member,1/2016,Present
"Senate-confirmed/Mattis, James N",8,U.S. Naval Institute,"Annapolis, Maryland",Non-Profit,Board Member,1/2014,12/2015
"Senate-confirmed/Mattis, James N",9,Revocable Family Trust #1,"Richland, Washington",Trust,Trustee,10/2011,Present
"Senate-confirmed/Mattis, James N",10,CNA Corporation,"Arlington, Virginia",Non-Profit,Consultant,1/2015,12/2015
"Senate-confirmed/Mattis, James N",11,Jamestown Foundation,"Washington, District of Columbia",Think tank,Consultant,5/2015,5/2015
"Senate-confirmed/Mnuchin, Steven T",1,Dune Capital Management LP,"New York, New York",Investment Fund Manager,Chairman and CEO,9/2004,Present
"Senate-confirmed/Mnuchin, Steven T",2,OneWest Bank Group LLC,"Pasadena, California",Bank Holding company,Chairman and CEO,3/2009,8/2015
"Senate-confirmed/Mnuchin, Steven T",3,CIT Group Inc.,"New York, New York",Corporation,Vice Chairman,8/2015,3/2016
"Senate-confirmed/Mnuchin, Steven T",4,Dune Capital Management GP LLC,"New York, New York",General Partner,Sole Owner,12/2004,Present
"Senate-confirmed/Mnuchin, Steven T",5,OneWest Bank NA,"Pasadena, California",Corporation,Chairman and Director,3/2009,8/2015
"Senate-confirmed/Mnuchin, Steven T",6,CIT Bank NA,"Pasadena, California",Corporation,Chairman and Director,8/2015,3/2016
"Senate-confirmed/Mnuchin, Steven T",7,CIT Group Inc,"New York, New York",Corporation,Director,8/2015,12/2016
"Senate-confirmed/Mnuchin, Steven T",8,Sears Holdings Inc.,"Hoffman Estates, Illinois",Corporation,Director,11/2004,12/2016
"Senate-confirmed/Mnuchin, Steven T",9,Steven T. Mnuchin Inc.,"New York, New York",Corporation,President and Sole Owner,5/1999,Present
"Senate-confirmed/Mnuchin, Steven T",10,STM Partners LLC,"New York, New York",Investment Partnership,Managing Member,8/2003,Present
"Senate-confirmed/Mnuchin, Steven T",11,SHM Investments LLC,"New York, New York",Investment Manager,Managing Member,1/2003,Present
"Senate-confirmed/Mnuchin, Steven T",12,STM Revocable Trust,"Los Angeles, California",Trust,Trustee,7/2012,Present
"Senate-confirmed/Mnuchin, Steven T",13,Steven and Heather Mnuchin Foundation,"Los Angeles, California",Private Foundation,Trustee,1/1994,Present
"Senate-confirmed/Mnuchin, Steven T",14,STM GST Trust,"Los Angeles, California",Trust,Trustee,5/2005,Present
"Senate-confirmed/Mnuchin, Steven T",15,AGM GST Trust,"New York, New York",Trust,Trustee,5/2005,Present
"Senate-confirmed/Mnuchin, Steven T",16,ETC Estate,"New York, New York",Estate,Co-Executor,5/2005,Present
"Senate-confirmed/Mnuchin, Steven T",17,Elaine T. Cooper Foundation,"New York, New York",Private Foundation,Trustee,5/2005,Present
"Senate-confirmed/Mnuchin, Steven T",18,The GMG 2002 Trust,"Washington, District of Columbia",Trust,Trust Protector,1/2010,Present
"Senate-confirmed/Mnuchin, Steven T",19,The SMG 2002 Trust,"Washington, District of Columbia",Trust,Trust Protector,1/2010,Present
"Senate-confirmed/Mnuchin, Steven T",20,The LFG 2002 Trust,"Washington, District of Columbia",Trust,Trust Protector,1/2010,Present
"Senate-confirmed/Mnuchin, Steven T",21,GMG 1999 Trust,"Washington, District of Columbia",Trust,Trustee,1/2010,Present
"Senate-confirmed/Mnuchin, Steven T",22,LFG 1999 Trust,"Washington, District of Columbia",Trust,Trustee,1/2010,Present
"Senate-confirmed/Mnuchin, Steven T",23,SMG 1999 Trust,"Washington, District of Columbia",Trust,Trustee,1/2010,Present
"Senate-confirmed/Mnuchin, Steven T",24,The NFL 2015 Trust,"Miami, Florida",Trust,Trustee,3/2015,Present
"Senate-confirmed/Mnuchin, Steven T",25,The NRL 2015 Trust,"Miami, Florida",Trust,Trustee,3/2015,Present
"Senate-confirmed/Mnuchin, Steven T",26,Trust U Art 6th (b) MM,"Washington, Connecticut",Trust,Trustee,11/1995,Present
"Senate-confirmed/Mnuchin, Steven T",27,VM 2007 Family Trust,"Washington, Connecticut",Trust,Trustee,2/2007,Present
"Senate-confirmed/Mnuchin, Steven T",28,The MPM 2006 Trust,"Washington, Connecticut",Trust,Trustee,10/2006,Present
"Senate-confirmed/Mnuchin, Steven T",29,V and MM Foundation,"Washington, Connecticut",Private Foundation,Trustee,12/1987,Present
"Senate-confirmed/Mnuchin, Steven T",30,MM Insurance Trust,"Washington, Connecticut",Trust,Trustee,12/1992,Present
"Senate-confirmed/Mnuchin, Steven T",31,M Family Trust,"Washington, Connecticut",Trust,Trustee,12/2005,Present
"Senate-confirmed/Mnuchin, Steven T",32,LeFrak Trust Company,"Wilmington, Delaware",Corporation,Director,1/2009,Present
"Senate-confirmed/Mnuchin, Steven T",33,Museum of Contemporary Art,"Los Angeles, California",Museum,Trustee,12/2009,12/2016
"Senate-confirmed/Mnuchin, Steven T",34,LAPD Foundation,"Los Angeles, California",Non-Profit,Trustee,1/2012,Present
"Senate-confirmed/Mnuchin, Steven T",35,UCLA Hospital,"Los Angeles, California",Hospital,"Member, Board",1/2010,Present
"Senate-confirmed/Mnuchin, Steven T",36,Cedar Sinai Hospital,"Los Angeles, California",Hospital,"Member, Board of Governors",1/2010,Present
"Senate-confirmed/Mnuchin, Steven T",37,Relativity Media,"Los Angeles, California",Corporation,Non-Executive Co-Chairman and Board Member,10/2014,6/2015
"Senate-confirmed/Mnuchin, Steven T",38,The MR and JMB 2003 Life Insurance Trust,"New York, New York",Trust,Trustee,3/2003,Present
"Senate-confirmed/Mnuchin, Steven T",39,The MPM 2006 Trust,"Washington, Connecticut",Trust,Trustee,10/2006,Present
"Senate-confirmed/Mnuchin, Steven T",40,Crummey Trust fbo MPM,"Washington, Connecticut",Trust,Trustee,12/1995,Present
"Senate-confirmed/Mnuchin, Steven T",41,2503(c) Minority Trust fbo MPM,"Washington, Connecticut",Trust,Trustee,12/1992,Present
"Senate-confirmed/Mnuchin, Steven T",42,Dune Entertainment Partners LLC,"New York, New York",Partnership,Chairman,1/2013,Present
"Senate-confirmed/Mnuchin, Steven T",43,StormChaser Partners LLC,"Los Angeles, California",Limited Liability Company,Chairman,12/2015,Present
"Senate-confirmed/Mnuchin, Steven T",44,New York Presbyterian Hospital,"New York, New York",Hospital,Life Trustee,1/2004,Present
"Senate-confirmed/Mnuchin, Steven T",45,Dune Capital Partners LLC,"New York, New York",Limited Liability Company,Manager,1/2004,Present
"Senate-confirmed/Mnuchin, Steven T",46,Dune Capital Partners II LP,"New York, New York",Limited Liability Partnership,Manager,1/2004,Present
"Senate-confirmed/Mnuchin, Steven T",47,Dune Capital Partners III LLC,"Las Vegas, Nevada",Limited Liability Company,Managing Member,10/2013,Present
"Senate-confirmed/Mnuchin, Steven T",48,Dune Capital Manager LLC,"New York, New York",Limited Liability Company,Managing Member,1/2004,Present
"Senate-confirmed/Mnuchin, Steven T",49,IMB Management Holdings GP LLC,"Pasadena, California",Limited Liability Company,Managing Member,6/2008,12/2015
"Senate-confirmed/Mnuchin, Steven T",50,"SHM Partners II, LLC","New York, New York",Limited Liability Company,Managing Member,1/2004,Present
"Senate-confirmed/Mnuchin, Steven T",51,STM Capital LLC,"Los Angeles, California",Limited Liability Company,Managing Member,9/2014,4/2016
"Senate-confirmed/Mnuchin, Steven T",52,IMB HoldCo LLC,"New York, New York",Corporation,Chairman,1/2009,8/2015
"Senate-confirmed/Mnuchin, Steven T",53,OneWest Foundation,"New York, New York",Non-Profit,"Director, Chairman/CEO",12/2009,8/2015
"Senate-confirmed/Mnuchin, Steven T",54,Dune Capital International Ltd,"Cayman Islands, Outside U.S.",Corporation,Director,12/2004,Present
"Senate-confirmed/Mnuchin, Steven T",55,ESL 2012 Family Trust,"Miami, Florida",Trust,Trustee,12/2012,Present
"Senate-confirmed/Mnuchin, Steven T",56,AGM 2016 Insurance Trust,"New York, New York",Trust,Trustee,6/2016,Present
"Senate-confirmed/Mulvaney, John M",1,"The Mulvaney Company, Inc.","Indian Land, South Carolina",Corporation,President,1/2009,Present
"Senate-confirmed/Mulvaney, John M",2,Education Trust for DC1,"Indian Land, South Carolina",Trust,Trustee,12/2000,Present
"Senate-confirmed/Mulvaney, John M",3,Education Trust for DC2,"Indian Land, South Carolina",Trust,Trustee,12/2000,Present
"Senate-confirmed/Mulvaney, John M",4,Education Trust for DC3,"Indian Land, South Carolina",Trust,Trustee,12/2000,Present
"Senate-confirmed/Mulvaney, John M",5,Northwestern Mutual Irrevocable Life Insurance Trust,"Charlotte, North Carolina",Trust,Trustee,3/1997,Present
"Senate-confirmed/Mulvaney, John M",6,MP/Collins Road LLC,"Indian Land, South Carolina",Corporation,Managing Member,4/2007,Present
"Senate-confirmed/Patenaude, Pamela H",1,J. Ronald Terwilliger Foundation for Housing America's Families,"Vienna, Virginia",Non-Profit,President,10/2014,Present
"Senate-confirmed/Patenaude, Pamela H",2,The Reinvestment Fund,"Philadelphia, Pennsylvania",Non-Profit,Advisory Board Member,1/2014,Present
"Senate-confirmed/Patenaude, Pamela H",3,Home Builders Institute,"Washington, District of Columbia",Non-Profit,"Trustee, Vice Chair",1/2015,Present
"Senate-confirmed/Patenaude, Pamela H",4,National Housing Conference,"Washington, District of Columbia",Non-Profit,"Board of Governors, Trustee",5/2014,Present
"Senate-confirmed/Patenaude, Pamela H",5,Tysons Trace HOA,"Vienna, Virginia",Homeowners Association,Vice President,4/2012,Present
"Senate-confirmed/Perdue, George E",1,Perdue Management Holdings LLC,"Bonaire, Georgia",Limited Liability Company,Manager,10/2010,Present
"Senate-confirmed/Perdue, George E",2,Perdue Family Revocable Management Trust,"Bonaire, Georgia",Trust,Trustee,12/2010,Present
"Senate-confirmed/Perdue, George E",3,Bipartisan Policy Center Governor's Council,"Washington, District of Columbia",Non-Profit,Council Member,8/2012,Present
"Senate-confirmed/Perdue, George E",4,Georgia Agribusiness Council,"Commerce, Georgia",State Agriculture Industry Organization,Secretary,1/2015,Present
"Senate-confirmed/Perdue, George E",5,National Grain and Feed Association,"Arlington, Virginia",Industry Association,"Member, Board of Directors",1/2015,Present
"Senate-confirmed/Perdue, George E",6,"Perdue Business Holdings, Inc.","Bonaire, Georgia",Corporation,"Member, Board of Directors",12/2010,Present
"Senate-confirmed/Perdue, George E",7,Perdue Properties LLC,"Bonaire, Georgia",Limited Liability Company,Sole Owner,11/2010,Present
"Senate-confirmed/Perdue, George E",8,Perdue Real Estate Holdings LLLP,"Bonaire, Georgia",Limited Liability Limited Partnership,Sole Owner,11/2010,Present
"Senate-confirmed/Perry, James Richard",1,ARP Holdings,"Austin, Texas",Corporation,Manager,2/2015,Present
"Senate-confirmed/Perry, James Richard",2,Energy Transfer Partners,"Dallas, Texas",Corporation,Board Member,2/2015,12/2016
"Senate-confirmed/Perry, James Richard",3,Sunoco Logistics Partners LP,"Philadelphia, Pennsylvania",Corporation,Board Member,3/2015,12/2016
"Senate-confirmed/Perry, James Richard",4,Celltex Therapeutics Corp.,"Houston, Texas",Corporation,Board Member,5/2016,12/2016
"Senate-confirmed/Perry, James Richard",5,State of Texas,"Austin, Texas",State,Governor,12/2000,1/2015
"Senate-confirmed/Perry, James Richard",6,MCNA Insurance Company,"Fort Lauderdale, Florida",Corporation,consultant,10/2015,4/2016
"Senate-confirmed/Perry, James Richard",7,McKenna  & Associates,"Arlington, Virginia",Corporation,consultant,3/2016,10/2016
"Senate-confirmed/Perry, James Richard",8,Holt Texas,"San Antonio, Texas",Corporation,consultant,3/2015,12/2015
"Senate-confirmed/Perry, James Richard",9,Grey Rock Energy Partners,"Dallas, Texas",Corporation,Advisory Board Member,3/2015,12/2016
"Senate-confirmed/Perry, James Richard",10,MCNA Insurance Company,"Fort Lauderdale, Florida",Corporation,Board Member,4/2016,12/2016
"Senate-confirmed/Perry, James Richard",11,Celltex Therapeutics Corp.,"Houston, Texas",Corporation,consultant,5/2016,12/2016
"Senate-confirmed/Perry, James Richard",12,J.R. Perry & Company,"Haskell, Texas",Partnership,General Partner,1/2013,10/2015
"Senate-confirmed/Pompeo, Michael R",1,Revocable Family Trust #1,"Wichita, Kansas",Trust,Trustee,1/2007,Present
"Senate-confirmed/Pompeo, Michael R",2,Revocable Family Trust #2,"Wichita, Kansas",Trust,Trustee,1/2007,Present
"Senate-confirmed/Price, Thomas E",1,American Medical Association,"Chicago, Illinois",Non-Profit,Delegate,1/2005,Present
"Senate-confirmed/Price, Thomas E",2,Chattahoochee Associates,"Atlanta, Georgia",General Partnership,Managing and General Partner,11/1993,Present
"Senate-confirmed/Pruitt, Edward Scott",1,The Southern Baptist Theological Seminary,"Louisville, Kentucky",University/College,Member of the Board of Trustees,11/2012,Present
"Senate-confirmed/Pruitt, Edward Scott",2,The Windows Ministry Incorporated,"Oklahoma City, Oklahoma",Non-Profit,Board of Directors,12/2009,Present
"Senate-confirmed/Pruitt, Edward Scott",3,Rule of Law Defense Fund,"Washington, District of Columbia",501(c)(4),Member of the Board of Directors,11/2016,12/2016
"Senate-confirmed/Pruitt, Edward Scott",4,Rule of Law Defense Fund,"Washington, District of Columbia",501(c)(4),Chairman,11/2015,11/2016
