file,part,#,endnote
"Senate-confirmed/DeVos, Elisabeth P",6,20.2,Freedom Capital Management L.P. conducts a cash management business for the Dick and Betsy DeVos Family Foundation and foundations of other DeVos family members. This entity holds cash on deposit with a U.S. bank and securities that are held at a U.S. bank as follows: UNITED STATES TREAS NTS DTD 02/28/2013 .75% DUE 02-28-2018 REG UNITED STATES TREAS NTS DTD 12/15/2015 1.25% DUE 12-15-2018 REG UTD STATES TREAS .875% DUE 10-15-2018 UTD STATES TREAS 1% DUE 03-15-2019 AB SVENSK EXPORTKREDIT - SWEDISH EXPT CRTRANCHE # TR 00272 ADJ RT 01-14-2019 REG FHLB FEDERAL HOME LN BKS .625% DUE 08-07-2018REG .625 08-07-2018 FHLB FEDERAL HOME LN BKS .875% 10-01-2018 .875 10-01-2018 FHLB FEDERAL HOME LN BKS 1.375% 11-15-2019 1.375 11-15-2019 FHLMC TRANCHE # TR 00455 1 06-29-2018/12-29-2016 FHLMC TRANCHE # TR 00721 .8 10-27-2017/01-27-2017 FHLMC TRANCHE # TR 00776 .85 07-27-2018 FNMA TRANCHE 00637 1.375 01-28-2019 FNMA TRANCHE 00674 .875 08-02-2019 ALASKA ST HSG FIN CORP VAR RT DUE 06-01-2043/12-01-2017 BEO TAXABLE ALLEN CNTY OHIO HOSP FACS REV FLTG RT 1.42% 11-01-2035 BEO ARLINGTON TEX INDPT SCH DIST 1.031% 02-15-2017 BEO TAXABLE CHICAGO ILL O HARE INTL ARPT REV 5% 01-01-2019 BEO LOUISIANA ST GAS & FUELS TAX REV 2.35% 05-01-2018 BEO TAXABLE MAHTOMEDI MINN HSG REV VAR-REF-TAXABLE-BRIARCLIFF-B 15 JUN 2038 RUTGERS ST UNIV N J 2.009% 05-01-2018 BEO TAXABLE TEXAS A & M UNIV REVS 1.536% 05-15-2018 BEO TAXABLE TEXAS ST RMRKTD 1.902% 08-01-2023 BEO TAXABLE AUSTRALIA & NEW ZEALAND BKG GROUP FLTG RT 05-15-2018 COMWLTH BK 1.75% DUE 11-02-2018 NATIONAL AUSTRALIA BANK NY 1.875% 07-12-2021 NATL AUSTRALIA BK 2% DUE 01-14-2019 ANHEUSER-BUSCH INBEV FIN INC GTD NT FLTGRATE DUE 02-01-2019 REG BANK MONTREAL MTN BOOK ENTRY # TR 169 1.4 DUE 09-11-2017 BANK OF MONTREAL FRN 07-18-2019 BK MONTREAL MEDIUM FLTG RT 1.37011% DUE 04-10-2018 BK NOVA SCOTIA B C 1.65% DUE 06-14-2019 BK NOVA SCOTIA B C 2.45% DUE 03-22-2021 ROYAL BK CDA FLTG RT 1.42733% DUE 07-30-2018 ROYAL BK CDA GLOBAL MEDIUM TERM SR BK NTTRANCHE # SR 371 VAR RT DUE 07-29-2019 ROYAL BK CDA GLOBAL MEDIUM TERM SR BK NTTRANCHE # TR 818 VAR RT DUE 10-13-2017 TORONTO DOMINION BK SR MEDIUM TERM BK NTFLT RT DUE 04-30-2018 TORONTO-DOMINION BANK FRN 08-13-2019 TRANSCANADA 1.625% DUE 11-09-2017 CNOOC FIN 2015 2.625% DUE 05-05-2020 BNP PARIBAS US MEDIUM TERM NT PROGRAM LLC MEDIUM TERM SR NTS 2.4 12-12-2018 SANOFI S A 1.25% DUE 04-10-2018 SOCIETE GENERALE 2.75 10-12-2017 TOTAL CAP INTL 1.55% DUE 06-28-2017 AMERN HONDA FIN 1.7% DUE 02-22-2019 SUMITOMO MITSUI BANKING CORP VAR RT DUE 01-18-2019 SUMITOMO MITSUI FINANCIAL GROUP INC NT FLTG DUE 03-09-2021 REG TOYOTA MTR CR CORP MEDIUM TERM NTS BOOK FLTG RT DUE 01-12-2018 KOREA FIN CORP 2.25% DUE 08-07-2017 COOPERATIEVE 1.375% DUE 08-09-2019 SHELL INTL FIN B V 1.125% DUE 08-21-2017 STATOIL ASA GTD NT FLTG DUE 11-08-2018 REG UBS AG STAMFORD FLTG RT 1.54206% DUE 08-14-2019 ASTRAZENECA PLC FLTG RT 1.44122% DUE 11-16-2018 BP CAP MKTS P L C 1.375% DUE 05-10-2018 LLOYDS BANK PLC 4.2% DUE 03-28-2017 LLOYDS BK PLC 2% DUE 08-17-2018 SANTANDER UK PLC 1.65% DUE 09-29-2017 SANTANDER UK PLC NT FLTG DUE 09-29-2017 REG UNILEVER CAP CORP 1.375% DUE 07-28-2021 AMERICAN EXPRESS CR CORP 1.8% DUE 07-31-2018 AMERICAN EXPRESS CR CORP FLTG RT DUE 09-14-2020 AMERN HONDA FIN CORP MED TERM NTS BOOK ENTRY TRANCHE # TR 35 DUE 11-19-2018 REG APPLE INC FLTG RT 1.18094% DUE 05-06-2019 BANK AMER CORP 2.625% DUE 10-19-2020 BB&T CORP SR MEDIUM TERM NTS BOOK ENTRY TRANCHE # TR 00014 VAR RT DUE 06-15-2018 BERKSHIRE HATHAWAY FIN CORP FRN 08-15-2019 BERKSHIRE HATHAWAY FLTG RT 1.65344% DUE 03-15-2019 BK NEW YORK INC 1.3% DUE 01-25-2018 BK NEW YORK INC FLTG RT 1.43306% DUE 09-11-2019 BRISTOL MYERS .875% DUE 08-01-2017 CHARLES SCHWAB CORP 1.5% DUE 03-10-2018 CISCO SYS INC NT FLTG RATE DUE 03-01-2019 REG CITIGROUP INC FLTG RT 1.39206% DUE 08-14-2017 COCA COLA CO 1.375% DUE 05-30-2019 CONOCOPHILLIPS CO 1.05 DUE 12-15-2017 COSTCO WHSL CORP 1.125% DUE 12-15-2017 DISNEY WALT CO NEW MEDIUM TERM NTS BOOK 1.1 12-01-2017 DISNEY WALT CO NEW MEDIUM TERM NTS BOOK FLTG RT DUE 05-30-2019 DUKE ENERGY FLTG RT 1.11122% DUE 11-20-2017 EXXON MOBIL CORPORATION VAR RT DUE 03-15-2019 REG FIFTH THIRD BANCORP 1.35 DUE 06-01-2017 BEO GEN ELEC CAP CORP FLTG RT 1.62928% DUE 01-09-2020 GENERAL ELEC CAP CORP FLT RT DUE 01-14-2019 REG GEORGE WASH UNIV 1.827 DUE 09-15-2017 GOLDMAN SACHS FLTG RT 1.58622% DUE 05-22-2017 GOLDMAN SACHS FLTG RT 2.70011% DUE 02-25-2021 HOME DEPOT INC 2% DUE 06-15-2019 HSBC USA INC NEW FRNS VAR RT DUE 09-24-2018 INTERNATIONAL BUSINESS MACHS CORP 1.25 DUE 02-08-2018 JOHN DEERE CAPITAL CORP TRANCHE # TR 00413 1.95% DUE 01-08-2019 JPMORGAN CHASE & CO NT FLTG RATE DUE 01-28-2019 REG JPMORGAN CHASE & CO SR NT FLTG DUE 01-25-2018 REG LOWES COS INC FLTG RT 1.37306% DUE 09-10-2019 MERCK & CO INC FL RT BNDS DUE 02-10-2020 MFRS & TRADERS TR CO BK NT PROGRAM TRANCHE # TR 3 DUE 01-30-2017 REG MICROSOFT CORP 1.1% DUE 08-08-2019 MORGAN STANLEY 4.75% DUE 03-22-2017 MORGAN STANLEY SR NT 2.45% DUE 02-01-2019 MUFG AMERS HLDGS 1.625% DUE 02-09-2018 NATL RURAL UTILS 1.65% DUE 02-08-2019 ORACLE CORP DUE 01-15-2019 REG PACCAR FINL CORP 1.65% DUE 02-25-2019 PEPSICO INC 1.5% DUE 02-22-2019 PFIZER INC 1.7% 12-15-2019 PHILIP MORRIS INTL 1.375% DUE 02-25-2019 PNC BANK NA PITTSBURGH PA 1.125 BDS DUE 01-27-2017 U S BANCORP MEDIUM TERM NTS- BOOK ENTRY FLT RT 04-25-2019 UNITEDHEALTH GROUP 1.4% DUE 12-15-2017 UNITEDHEALTH GROUP 1.45% DUE 07-17-2017 UTD PARCEL SVC INC 1.125% DUE 10-01-2017 WAL-MART STORES INC 1.125 DUE 04-11-2018 WELLS FARGO & CO NEW FLT RT 04-22-2019 REG WELLS FARGO & COMPANY FL RT MTN DUE 09-08-2017 WELLS FARGO BK N A SAN FRANCISCO CALIF MTRANCHE # TR 00841 1.65% DUE 01-22-2018 AMERICREDIT 1.52% DUE 06-10-2019 BMW VEH LEASE TR 1.17% DUE 01-22-2018 CAP 1 MULTI-ASSET 1.48% DUE 07-15-2020 CARMAX AUTO OWNER 1.17% DUE 08-15-2019 CHASE ISSUANCE TR CHASESERIES 2013-3 NT CL A-1 04-15-2020 REG FORD CR FLOORPLAN FLTG RT 1.32389% DUE 07-15-2021 GE DEALER FLOORPLAN MASTER NT SER 2014-2 CL A FLTG RT 10-20-2019 REG GM FINL AUTOMOBILE 1.1% DUE 12-20-2017 JOHN DEERE OWNER 1.15% DUE 10-15-2018 SANTANDER DRIVE AUTO RECEIVABLES TR SER 15-5 CL A2B 11-15-2018 WORLD OMNI 1.2% DUE 02-15-2019 NORDEA BK AB PUBL DISC COML PAPER 4/2 YRS 1&2 CPN 03-22-2017 MFB NI GOVERNMENT ASSETS PORTFOLIO (EIF)
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.5.1,Global supplier of ingredients and bakery products.
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.6.1,Manufacturer of bow-hunting and fishing products and archery accessories.
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.7.1,"Provider of value-added tax refunds, flexible currency payment options, and related services to international travelers."
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.8.1,(Healthcare)
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.9.1,"Provider of pharmacy and healthcare services that are customizable, comprehensive, and cost- effective."
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.10.1,"The investment owned represents an equity interest in MC Assembly Holdings Inc., debt and equity instruments with an affiliated entity, MC Test Services, Inc., and a debt instrument with an affiliated entity, MC Assembly LLC.  These entities are contract manufacturers of printed circuit board assembly, testing, and custom box-build services."
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.11.1,Provider of global enterprise software to the financial services industry.
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.12.1,"Nelson Global Holdings LLC owns Nelson Global Products, which designs, manufactures, and markets a broad range of fabricated high performance OEM and aftermarket products for the global On and Off Highway vehicles and Power Sports and Outdoor Equipment markets."
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.13.1,"Recruiter of global specialist personnel for the international oil and gas, power, and infrastructure sectors."
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.14.1,Provider of urgent care with 107 facilities located across eight states.
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.15.1,Provider of products and services in both industrial rubber and wire rope and rigging markets.
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.16.1,Distributor of pharmaceuticals and surgical supplies to oral health professionals.
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.17.1,Provider of healthcare data and analytics solutions.
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.18.1,"Provider of premium-branded, specialty cleaning products for the consumer market and specialty cleaning, sterilization, and disinfectant products for the healthcare market."
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.19.1,"Designer and marketer of premium coolers, ice chests, and accessories."
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.20.1,"Designer and manufacturer of packaging products for the retail, food, security, and medical markets."
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.21.1,The underlying investment has been liquidated.  The value remaining represents an interest in an escrow account holding remaining proceeds from the sale.
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.22.1,This investment was liquidated in 2015 with final proceeds received on 11/3/16.
"Senate-confirmed/DeVos, Elisabeth P",6,20.3.23.1,"Perseus Mining Limited is a publicly-traded, diversified West African-focused gold production, development and exploration company."
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.2.1,Global manufacturer of commercial laundry equipment.
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.4.1,Provider of healthcare cost management solutions.
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.5.1,Provider of beef and poultry to food service industries and food retailers.
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.6.1,"Provider of flexible packaging solutions to diverse and stable end-markets, including the food, industrial, healthcare, pet food, and retail industries."
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.7.1.1,Provider of risk and asset management software and services to the automotive claims processing industry.
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.8.1,"Provider of outsourced an managed rehabilitation therapy services focusing on physical, occupational, and speech therapy."
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.10.1,Provider of risk and asset management software and services to the automotive claims processing industry.
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.11.1,Provider of specialty coffee beverages and accessories.
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.12.1,"Supplier of paper materials customized for a range of lightweight food packaging, hygiene, and consumer markets."
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.13.1,Provider of electric perimeter security fence systems for corporate clients that store high-value assets outdoors.
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.14.1,Provider of cloud platform solutions to the pharmaceutical and health research industries.
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.15.1,Security provider focusing on cash logistics and protective services.
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.16.1,Designer and manufacturer of decorative and functional lighting products and fixtures for commercial and residential construction in the U.S.
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.17.1,"Designer, manufacturer, and distributor of custom interconnect and cable solutions to a wide range of end markets."
"Senate-confirmed/DeVos, Elisabeth P",6,20.4.1.1.19.1.1,"LMF WF Portfolio III, LLC holds investments obtained through Madison Capital Funding.  Madison Capital Funding is a debt capital provider supporting middle market focused private equity sponsors with cash flow based corporate finance products. The investments held by LMF WF Portfolio III, LLC include: AFC-DELL Holding Corp. - AFC-Dell Holding Corp. was incorporated in 2015 and is based in Fairfield, Ohio. Aramsco Holdings, Inc. - Aramsco Holdings, Inc. through its subsidiary distributes safety products for the hazardous environment. AWP, Inc. - AWP, Inc., doing business as Area Wide Protective Inc., provides traffic control solutions to utilities, municipalities, and private contractors throughout the Eastern United States. Champion Manufacturing Inc - Champion Manufacturing, Inc. manufactures patient and staff seating and accessories for healthcare providers. Chauvet & Sons, LLC - Chauvet & Sons, Inc., doing business as CHAUVET, engages in the development, manufacture, and sale of LED lighting products for entertainment and architectural lighting markets. CIBT Holdings, Inc. - CIBT Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, offers travel document processing services. CIBT Holdings specializes in travel visas and passports serving individual travelers, multinational corporations, tour operators, and cruise lines. Engage2Excel, Inc. (fka Tharpe Company, Inc) - Engage2Excel, Inc. provides managed employee reward and recognition programs. Expedited Travel, LLC - Expedited Travel, LLC provides passport and travel visa expediting services in the United States. FCX Holdings Corp - FCX Holdings, Inc. wholesales and distributes a variety of industrial process flow control products. The Company provides valves, actuation, accessories, control, safety, relief, and instrument measurement products. FTJ Fundchoice LLC - FTJ FundChoice, LLC provides investment and back office solutions to advisors by providing access to mutual fund managers and institutional portfolio strategists. Himagine Solutions, Inc. - himagine solutions, Inc. provides professional staffing and consultative services to support health information management (HIM), revenue cycle, and health information technology initiatives for healthcare providers. Innovative Aftermarket Systems L.P. - Innovative Aftermarket Systems, L.P. provides various products and solutions to finance and insurance (F&I) departments of automotive dealerships. J.S. HELD LLC - J.S. Held, LLC provides consulting, project management, and expert services to the construction industry in the United States. JHCC Holdings LLC (Joe Hudson's Collision Centers) - Joe Hudson's Collision Center Inc. offers automotive collision repair services in the United States. Kestra Financial, Inc. - Kestra Financial, Inc. provides registered investment advisor and broker/dealer services. Lawn Doctor, Inc. - Lawn Doctor, Inc. provides lawn, tree, and shrub care, as well as pest control services. Media Source - Media Source, Inc., through its subsidiaries, distributes children's literature throughout the United States, primarily through subscription services. Medical Solutions LLC - Medical Solutions L.L.C. operates as an interim clinical staffing company in the United States. Pegasus Transtech Holding, LLC - Pegasus TransTech Corporation develops and provides document management and integrated document delivery solutions to streamline billing, collections, payroll, accounts payable, driver qualifications, and other paper-intensive processes for the trucking industry. Prosci, Inc. - Prosci, Inc., a research company, provides a structured and scalable process based on research, including change management training programs and tools that empower organizations, government organizations, Fortune 100 companies, and individuals worldwide. Trump Card, LLC - TrumpCard Inc. provides air freight services. Urnex Brands, LLC - Urnex Brands, Inc. manufactures and distributes specialty cleaning products for coffee and espresso equipment. Vintage Parts, Inc. - Vintage Parts, Inc. purchases and sells original equipment manufacturer obsolete, slow moving, and inactive parts for various industries and manufacturers. Walker Advertising, LLC - Walker Advertising, Inc. is an advertising agency that specializes in the creation of advertising campaigns for the legal profession sector. WDT Acquisition Corp - WDT Acquisition Corp. was incorporated in 2005 and is based in Addison, Texas. KPA Services Holdings, LLC is a provider of environment and safety and human resource management software based solutions to automobile dealership and service companies. MSAS Buyer, Inc. is a provider of canine-enabled explosive detection and specialized security services. Saldon Holdings, Inc. is a franchisor of centers that provide signage and visual communications solutions. Westminster Acquisition LLC manufactures food products, including oyster crackers, horseradish, mustard, and other condiments."
