file,#,source-name,city-state,brief-description-of-duties
"White House/Morgan, Matthew",28,Mike Pence for Indiana,"Indianapolis, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",29,"Motorola Solutions, Inc.","Schaumburg, Illinois",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",30,Purdue University,"West Lafayette, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",31,"Republic Services, Inc.","Phoenix, Arizona",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",32,"Schmidt Associates, Inc.","Indianapolis, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",33,Simon Property Group,"Indianapolis, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",34,Southcom Public Safety Answering Point,"Schererville, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",35,St. Margaret Health (now Franciscan Health Hammond),"Hammond, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",36,"Town of Griffith, Indiana","Griffith, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",37,"Town of Munster, Indiana","Munster, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",38,Union Supply Group,"Rancho Dominguez, California",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",39,University of Notre Dame,"South Bend, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",40,Vertex Pharmaceuticals,"Boston, Massachusetts",Legal services (client of Barnes & Thornburg LLP)
"White House/Munisteri, Stephen P",1,Republican National Committee,"Washington, District of Columbia","Political strategy, National Convention planning, Electoral College"
"White House/Munisteri, Stephen P",2,"Rand Paul for President, Inc.","Washington, District of Columbia","Senior Advisor, Political strategy, speechwriting, debate preparation, caucus organizing,  fundraising team"
"White House/Navarro, Peter",1,University of California-Irvine,"Irvine, California",Professor
"White House/Navarro, Peter",2,"Casket & Funeral Supply Association of America, November 15, 2016","Indianapolis, Indiana","Deliver Keynote Speech for fee of $10,500"
"White House/Navarro, Peter",3,Captive Insurance Companies Association,"Scottsdale, Arizona","Deliver Keynote Speech, March 7, 2016 / $10,000."
"White House/Navarro, Peter",4,Metals Services Center Institute,"Rancho Bernardo, California","Speech/$7,500"
"White House/Nevins, Kristan K",1,SBD Advisors,"Washington, District of Columbia","Responsible for the strategic leadership and financial health of the firm as a core member of the Management team at SBD Advisors.  I developed new business focused on geopolitical issues, global policy and economic developments, risk assessments, due diligence and strategic positioning."
"White House/Nevins, Kristan K",2,Amazon Web Services,"Washington, District of Columbia",General Advising on National Security topics (client of SBD Advisors)
"White House/Nevins, Kristan K",3,C5 Capital,"London, England",General Advising on National Security topics (client of SBD Advisors)
"White House/Nevins, Kristan K",4,Doctors Without Borders,"New York, New York",General Advising on National Security topics (client of SBD Advisors)
"White House/Nevins, Kristan K",5,GM,"Detroit, Michigan",General Advising on National Security topics (client of SBD Advisors)
"White House/Nevins, Kristan K",6,Palantir,"Washington, District of Columbia",General Advising on National Security topics (client of SBD Advisors)
"White House/Nevins, Kristan K",7,Uber,"San Francisco, California",General Advising on National Security topics (client of SBD Advisors)
"White House/Nevins, Kristan K",8,KnuEdge,"San Diego, California",General Advising on National Security topics (client of SBD Advisors)
"White House/Niceta, Anna C",1,Design Cuisine,"Arlington, Virginia",
"White House/Olmem, Andrew",1,Venable LLP,"Washington DC, District of Columbia",Law Partner
"White House/Olmem, Andrew",2,American Enterprise Institute,"Washington, District of Columbia",Panelist Stipend
"White House/Olmem, Andrew",3,Crossroads Grassroots Policy,"Washington, District of Columbia",Consulting
"White House/Olmem, Andrew",4,Pacific Investment Management Company,"LONG BEACH, California",LAW FIRM CLIENT
"White House/Olmem, Andrew",5,CITADEL LLC,"CHICAGO, Illinois",LAW FIRM CLIENT
"White House/Olmem, Andrew",6,ELECTRONIC TRANSACTIONS ASSOCIATION,"WASHINGTON, District of Columbia",LAW FIRM CLIENT
"White House/Olmem, Andrew",7,UNITED SERVICES AUTOMOBILE ASSOCIATION,"SAN ANTONIO, Texas",LAW FIRM CLIENT
"White House/Olmem, Andrew",8,ALLY FINANCIAL,"DETROIT, Michigan",LAW FIRM CLIENT
"White House/Olmem, Andrew",9,PROPERTY CASUALTY INSURERS ASSOCIATION OF AMERICA,"WASHINGTON, District of Columbia",LAW FIRM CLIENT
"White House/Olmem, Andrew",10,THE CLEARING HOUSE ASSOCIATION,"WASHINGTON, District of Columbia",LAW FIRM CLIENT
"White House/Olmem, Andrew",11,AON SERVICES CORPORATION,"CHICAGO, Illinois",LAW FIRM CLIENT
"White House/Olmem, Andrew",12,S&P GLOBAL INC,"NEW YORK, New York",LAW FIRM CLIENT
"White House/Olmem, Andrew",13,LLOYD'S AMERICA,"NEW YORK, New York",LAW FIRM CLIENT
"White House/Olmem, Andrew",14,FRANKLIN ADVISERS,"SAN MATEO, California",LAW FIRM CLIENT
"White House/Olmem, Andrew",15,CARRIE TOLSTEDT,"San Francisco, California",LAW FIRM CLIENT
"White House/Olmem, Andrew",16,BLACKSTONE REALTY ADVISORS INC,"NEW YORK, New York",LAW FIRM CLIENT
"White House/Olmem, Andrew",17,STATE STREET BANK & TRUST CO,"BOSTON, Massachusetts",LAW FIRM CLIENT
"White House/Olmem, Andrew",18,AMERICAN EXPRESS COMPANY,"NEW YORK, New York",LAW FIRM CLIENT
"White House/Olmem, Andrew",19,GENERAL ELECTRIC,"STAMFORD, Connecticut",LAW FIRM CLIENT
"White House/Olmem, Andrew",20,METROPOLITIAN LIFE COMPANY,"NEW YORK, New York",LAW FIRM CLIENT
"White House/Olmem, Andrew",21,EXPERIAN,"COSTA MESA, California",LAW FIRM CLIENT
"White House/Olmem, Andrew",22,Angelo Gordon & CO,"New York, New York",LAW FIRM CLIENT
"White House/Olmem, Andrew",23,Blue Mountain Capital Management,"New York, New York",LAW FIRM CLIENT
"White House/Olmem, Andrew",24,DE SHAW GALVANIC PORTFOLIOS,"NEW YORK, New York",LAW FIRM CLIENT
"White House/Olmem, Andrew",25,KNIGHTHEAD CAPITAL MANAGEMENT,"NEW YORK, New York",LAW FIRM CLIENT
"White House/Olmem, Andrew",26,MARATHON ASSET MANAGEMENT,"NEW YORK, New York",LAW FIRM CLIENT
"White House/Paoletta, Mark",1,MP Strategies LLC,"Tyson's Corner, Virginia","media projects (e.g., articles, websites, documentary)"
"White House/Paoletta, Mark",2,DLA Piper LLP,"Washington, District of Columbia",Equity Partner
"White House/Paoletta, Mark",3,"Samsung Electronics America, Inc","Ridgefield Park, New Jersey",legal services (client of DLA Piper)
"White House/Paoletta, Mark",4,"ViaSat, Inc","Carlsbad, California",legal services (client of DLA Piper)
"White House/Paoletta, Mark",5,Gilead Sciences Inc,"Foster City, California",legal services (client of DLA Piper)
"White House/Paoletta, Mark",6,Oracle,"Redwood Shores, California",legal services (client of DLA Piper)
"White House/Paoletta, Mark",7,"CGI Federal, Inc.","Fairfax, Virginia",legal services (client of DLA Piper)
"White House/Paoletta, Mark",8,Harbinger Capital Partners,"New York, New York",legal services (client of DLA Piper)
"White House/Paoletta, Mark",9,"Sorenson Communications, Inc.","Salt Lake City, Utah",legal services (client of DLA Piper)
"White House/Paoletta, Mark",10,Providence Equity Partners,"New York, New York",legal services (client of DLA Piper)
"White House/Paoletta, Mark",11,Future Income Payments,"Henderson, Nevada",legal services (client of DLA Piper)
"White House/Paoletta, Mark",12,PGA Tour,"Ponte Verdra Beach, Florida",legal services (client of DLA Piper)
"White House/Paoletta, Mark",13,1 individual client name redacted per DC Bar Rule 1.6,"Washington, District of Columbia",legal services (client of DLA Piper)
"White House/Paoletta, Mark",14,Governor Rick Snyder,"Lansing, Michigan","legal services (client of DLA Piper, fees paid by The Governor's Club)"
"White House/Paoletta, Mark",15,Judicial Education Project,"Washington, District of Columbia","media projects (e.g., articles, websites)"
"White House/Paoletta, Mark",16,DLA Piper LLP,"Washington, District of Columbia",Of Counsel
"White House/Passantino, Stefan",1,Gingrich Productions,"Arlington, Virginia",Legal Services
"White House/Passantino, Stefan",2,Keep the Promise PAC,"Austin, Texas",Legal Services
"White House/Passantino, Stefan",3,O.C. Tanner,"Salt Lake, Utah",Legal Services
"White House/Passantino, Stefan",4,Friends of Roy Blunt,"Columbia, Missouri",Legal Services
"White House/Passantino, Stefan",5,Trinity Industries,"Dallas, Texas",Legal Services
"White House/Passantino, Stefan",6,"Gordian Group, Inc.","Greenville, South Carolina",Legal Services
"White House/Passantino, Stefan",7,The J.C. Watts Companies,"Washington, District of Columbia",Legal Services
"White House/Passantino, Stefan",8,"National Heritage Academies, Inc.","Grand Rapids, Michigan",Legal Services
"White House/Passantino, Stefan",9,Georgians for Isakson,"Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",10,Republican Hindu Coalition,"Cold Stream, Illinois",Legal Services
"White House/Passantino, Stefan",11,Toby Neugebauer,"Dorado, Puerto Rico",Legal Services
"White House/Passantino, Stefan",12,"Georgia Leads on Education, Inc","Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",13,Delta Airlines,"Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",14,"Georgia Leads, Inc.","Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",15,Huawei Technologies (USA),"Plano, Texas",Legal Services
"White House/Passantino, Stefan",16,Icahn Capital LP,"New York, New York",Legal Services
"White House/Passantino, Stefan",17,Revitalize America,"Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",18,American Legacy Center,"Reston, Virginia",Legal Services
"White House/Passantino, Stefan",19,Texas Conservatives Fund,"Austin, Texas",Legal Services
"White House/Passantino, Stefan",20,American Legacy PAC,"Reston, Virginia",Legal Services
"White House/Passantino, Stefan",21,Fulton Issues Education Fund,"Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",22,"Cognosante, LLC","McLean, Virginia",Legal Services
"White House/Passantino, Stefan",23,Commonwealth of Pennsylvania,"Harrisburg, Pennsylvania",Legal Services
"White House/Passantino, Stefan",24,Constitutional Conservatives Fund,"Alexandria, Virginia",Legal Services
"White House/Passantino, Stefan",25,Carol H. Williams Advertising Agency,"Chicago, Illinois",Legal Services
"White House/Passantino, Stefan",26,Political Alpha,"Washington, District of Columbia",Legal Services
"White House/Passantino, Stefan",27,The Moak Group,"Washington, District of Columbia",Legal Services
"White House/Passantino, Stefan",28,PRICE PAC,"Roswell, Georgia",Legal Services
"White House/Passantino, Stefan",29,Zurich North America,"Shaumburg, Illinois",Legal Services
"White House/Passantino, Stefan",30,Our Children's Future,"Houston, Texas",Legal Services
"White House/Passantino, Stefan",31,My Faith Votes,"Garland, Texas",Legal Services
"White House/Passantino, Stefan",32,Advance the Colors,"Austin, Texas",Legal Services
"White House/Passantino, Stefan",33,The Stoneridge Group,"Alpharetta, Georgia",Legal Services
"White House/Passantino, Stefan",34,Extraordinary America,"Houston, Texas",Legal Services
"White House/Passantino, Stefan",35,"Ferring Pharmaceuticals, Inc.","Parsippany, New Jersey",Legal Services
"White House/Passantino, Stefan",36,Rayonier Advanced Materials,"Jacksonville, Florida",Legal Services
"White House/Passantino, Stefan",37,Rasky Baerlein Strategic Communications,"Boston, Massachusetts",Legal Services
"White House/Passantino, Stefan",38,"Amplify Education, Inc.","Brooklyn, New York",Legal Services
"White House/Passantino, Stefan",39,"Jackson Healthcare, LLC","Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",40,Leading Georgia Fund,"Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",41,Rodney for Congress,"Taylorville, Illinois",Legal Services
"White House/Passantino, Stefan",42,Conservative Texans,"Abeline, Texas",Legal Services
"White House/Passantino, Stefan",43,Prometheus Partners,"Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",44,The Rely On Your Beliefs Fund,"Washington, District of Columbia",Legal Services
"White House/Passantino, Stefan",45,21st Century Majority Fund,"Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",46,Peter Aman for Mayor of Atlanta,"Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",47,Mississippi Conservatives,"Jackson, Mississippi",Legal Services
"White House/Passantino, Stefan",48,Dr. Ben Carson,"Baltimore, Maryland",Legal Services
"White House/Passantino, Stefan",49,Dentons US,"Chicago, Illinois",Legal Services
"White House/Passantino, Stefan",50,Opportunity and Freedom PAC,"Austin, Texas",Legal Services
"White House/Passantino, Stefan",51,Americans for Economic Freedom,"Austin, Texas",Legal Services
"White House/Passantino, Stefan",52,"Safelite Group, Inc.","Columbus, Ohio",Legal Services
"White House/Passantino, Stefan",53,"Stand for Principle, Inc.","Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",54,Committee to Protect Paulding County,"Dallas, Georgia",Legal Services
"White House/Passantino, Stefan",55,Georgia Technology Authority,"Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",56,Advocates for Atlanta's Continued Progress,"Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",57,Health and Style Institute,"High Point, North Carolina",Legal Services
"White House/Passantino, Stefan",58,August Wolf for Senate Committee,"Stamford, Connecticut",Legal Services
"White House/Passantino, Stefan",59,RICKPAC,"Austin, Texas",Legal Services
"White House/Passantino, Stefan",60,Michael Steele,"McLean, Virginia",Legal Services
"White House/Passantino, Stefan",61,Steve Russell for Congress,"Oklahoma City, Oklahoma",Legal Services
"White House/Passantino, Stefan",62,"Forest Laboratories, Inc.","New York, New York",Legal Services
"White House/Passantino, Stefan",63,Primerica,"Duluth, Georgia",Legal Services
"White House/Passantino, Stefan",64,TMA Direct,"Reston, Virginia",Legal Services
"White House/Passantino, Stefan",65,Councilwoman Cori Davenport,"Johns Creek, Georgia",Legal Services
"White House/Passantino, Stefan",66,Coalition for Georgia's Future,"Atlanta, Georgia",Legal Services
"White House/Passantino, Stefan",67,Newt Gingrich,"Arlington, Virginia",Legal Services
"White House/Passantino, Stefan",68,Tom Price for Congress,"Roswell, Georgia",Legal Services
"White House/Passantino, Stefan",69,Chris Liddell,"New York, New York",Legal Services
"White House/Passantino, Stefan",70,"4 clients are not disclosed due to nonpublic investigations (1 corporation, 1 campaign committee and 2 individuals)",,Legal Services
"White House/Pavlik, Jennifer",1,State of Indiana,"Indianapolis, Indiana","Director of Operations for Governor Mike Pence, State of Indiana."
"White House/Pavlik, Jennifer",2,"Donald  J. Trump for President, Inc","New York City, NY, New York","Deputy Operations Director, Candidate for Vice President, Mike Pence"
"White House/Pavlik, Jennifer",3,Trump for America,"Washington, District of Columbia",Operations Director for Vice President Elect Mike Pence
"White House/Pitcock, Joshua",1,Pitcock Consulting LLC,"Washington, District of Columbia",Federal government consulting and lobbying
"White House/Pitcock, Joshua",2,"Donald J. Trump for President, Inc.","New York, New York",Political and policy consulting
"White House/Pitcock, Joshua",3,Trump for America,"Washington, District of Columbia",Transition-related services
"White House/Pitcock, Joshua",4,State of Indiana,"Indianapolis, Indiana",Consulting (client of Pitcock Consulting LLC)
"White House/Powell, Dina",1,Goldman Sachs Bank USA,"New York, New York",Participating Managing Director leading Goldman Sachs' Impact Investing Business and the Environmental Markets Group. President of the Goldman Sachs Foundation.
"White House/Priebus, Reinhold R",1,Republican National Committee,"Washington, District of Columbia",Chairman
"White House/Priebus, Reinhold R",2,Michael Best & Friedrich LLP,"Milwaukee, Wisconsin",Partner
"White House/Reynolds, Lindsay B",1,The LBR Group,"Cincinnati, Ohio",Event Planner
"White House/Reynolds, Lindsay B",2,Lindsay Reynolds,"Cincinnati, Ohio",Event Planner
"White House/Roman, Michael A",1,Freedom Partners,"Arlington, Virginia","Vice-President, Research"
"White House/Roman, Michael A",2,MR&A LLC,"Philadelphia, Pennsylvania",Owner of consulting firm
"White House/Roman, Michael A",3,Crestview Strategy,"Toronto, Outside U.S.",Research consulting
"White House/Roman, Michael A",4,Jones Day,"Washington, District of Columbia",Research consulting
"White House/Roman, Michael A",5,President Elect Transition Team,"Washington, District of Columbia",Staff management and research consulting
White House/Sanders. Sarah H,1,Second Street Strategies,"Little Rock, Arkansas",
White House/Sanders. Sarah H,2,Tsamoutales Strategies,"Tallahassee, Florida",
White House/Sanders. Sarah H,3,Huckabee for President,"Little Rock, Arkansas",Campaign manager
White House/Sanders. Sarah H,4,American Principles PAC,"Washington, District of Columbia",Executive Director
"White House/Scavino, Dan",1,"Donald J. Trump for President, Inc.","Manhattan, New York",Director of Social Media and Senior Adviser to Donald J. Trump & Presidential Campaign.
"White House/Scavino, Dan",2,"Trump for America, Inc.","Manhattan, New York",Director of Social Media for Trump/Pence Transition 2017
"White House/Scavino, Dan",3,Scavino and Associates LLC,"New York, New York",Consulting
"White House/Schiller, Keith",1,"KS Global Group, LLC","Queens, New York",Security business and consulting
"White House/Schiller, Keith",2,Donald J. Trump For President,"New york, New York",Security consultant
"White House/Schiller, Keith",3,The Trump Organization,"New York, New York",Director of Security
"White House/Schouten, Schuyler",1,Davis Polk & Wardwell LLP,"Washington, District of Columbia",Associate - legal practice
"White House/Schouten, Schuyler",2,"Kissinger Associates, Inc.","New York, New York",Senior Director - research and analysis; advising of principal
"White House/Schouten, Schuyler",3,"ARM, Inc.","London, Outside U.S.",Legal services
"White House/Schouten, Schuyler",4,Bank of America,"Charlotte, North Carolina",Legal services
"White House/Schouten, Schuyler",5,Bank of China,"Beijing, Outside U.S.",Legal services
"White House/Schouten, Schuyler",6,Citigroup Inc.,"New York, New York",Legal services
"White House/Schouten, Schuyler",7,Comcast/NBCUniversal,"Philadelphia, Pennsylvania",Legal services
"White House/Schouten, Schuyler",8,Credit Suisse,"New York, New York",Legal services
"White House/Schouten, Schuyler",9,Dufry AG,"Zurich, Outside U.S.",Legal services
"White House/Schouten, Schuyler",10,Ebara Corporation,"Tokyo, Outside U.S.",Legal Services
"White House/Schouten, Schuyler",11,Goldman Sachs,"New York, New York",Legal services
"White House/Schouten, Schuyler",12,HSBC,"London, Outside U.S.",Legal services
"White House/Schouten, Schuyler",13,Huatai Securities Co. Ltd.,"Beijing, Outside U.S.",Legal services
"White House/Schouten, Schuyler",14,IDG Capital,"Beijing, Outside U.S.",Legal services
"White House/Schouten, Schuyler",15,Intesa Sanpaolo,"Turin, Outside U.S.",Legal services
"White House/Schouten, Schuyler",16,JPMorgan Chase,"New York, New York",Legal services
"White House/Schouten, Schuyler",17,Moet Hennessy USA,"New York, New York",Legal services
"White House/Schouten, Schuyler",18,Morgan Stanley,"New York, New York",Legal services
"White House/Schouten, Schuyler",19,Solvay SA,"Brussels, Outside U.S.",Legal services
"White House/Schouten, Schuyler",20,Sumitomo Mitsui Financial Group,"Tokyo, Outside U.S.",Legal services
"White House/Schouten, Schuyler",21,Telefonica SA,"Madrid, Outside U.S.",Legal services
"White House/Schultz, James D",1,Cozen O'Connor,"Philadelphia, Pennsylvania",Attorney
"White House/Schultz, James D",2,"Lyft, Inc.","San Francisco, California",Legal Services
"White House/Schultz, James D",3,Franklin Square Capital Partners,"Philadelphia, Pennsylvania",Legal Services
"White House/Schultz, James D",4,"Reese, Tim","Ambler, Pennsylvania",Legal Services
"White House/Schultz, James D",5,"Snow Crab Dining, LLC","Drexel Hill, Pennsylvania",Legal Services
"White House/Schultz, James D",6,Special Committee to Board of Directors of Erie Indemnity Company,"Erie, Pennsylvania",Legal Services
"White House/Schultz, James D",7,Sugarhouse Casino,"Philadelphia, Pennsylvania",Legal Services
"White House/Schultz, James D",8,Temple University,"Philadelphia, Pennsylvania",Legal Services
"White House/Schultz, James D",9,"Tri-Mountain Ventures, LLC","Hazleton, Pennsylvania",Legal Services
"White House/Schultz, James D",10,University of Pittsburgh Medical Center,"Pittsburgh, Pennsylvania",Legal Services
"White House/Schultz, James D",11,"WHYY, Inc.","Philadelphia, Pennsylvania",Legal Services
"White House/Schultz, James D",12,Erie Insurance Company,"Erie, Pennsylvania",Legal Services
"White House/Schultz, James D",13,"Bleichmar, Fonti & Auld","New York, New York",Legal Services
"White House/Schultz, James D",14,"Britt Energies, Inc.","Indiana, Pennsylvania",Legal Services
"White House/Schultz, James D",15,"Blue Hen Development, L.P.","Springfield, Pennsylvania",Legal Services
"White House/Schultz, James D",16,"Campisano, Louis","Florham Park, New Jersey",Legal Services
"White House/Schultz, James D",17,Capital BlueCross,"Harrisburg, Pennsylvania",Legal Services
"White House/Schultz, James D",18,Civil Demand Associates,"Irvine, California",Legal Services
"White House/Schultz, James D",19,Greater Philadelphia Chapter-Society of Financial SErvice Professionals,"Wyomissing, Pennsylvania",Legal Services
"White House/Schultz, James D",20,Houghton Mifflin Harcourt Publishing Company,"Boston, Massachusetts",Legal Services
"White House/Schultz, James D",21,Independence Constructors Corporation,"Chester Springs, Pennsylvania",Legal Services
"White House/Schultz, James D",22,Jet1 LLC,"Watsontown, Pennsylvania",Legal Services
"White House/Schultz, James D",23,"LifeSafer, Inc.","Cincinnati, Ohio",Legal Services
"White House/Schultz, James D",24,Luxe Valet,"San Francisco, California",Legal Services
"White House/Schultz, James D",25,Middletown Township,"Trevose, Pennsylvania",Legal Services
"White House/Schultz, James D",26,"Mobilitie Partners, LLC","Newport Beach, California",Legal Services
"White House/Schultz, James D",27,"Moran, John D., Sr.","Watsontown, Pennsylvania",Legal Services
"White House/Schultz, James D",28,Moran Industries,"Watsontown, Pennsylvania",Legal Services
"White House/Schultz, James D",29,"QXZ, Inc.","Media, Pennsylvania",Legal Services
"White House/Schultz, James D",30,Raymour & Flanigan,"Liverpool, New York",Legal Services
"White House/Schultz, James D",31,Hewlett-Packard Enterprise Co.,"Radnor, Pennsylvania",Legal Services
"White House/Schultz, James D",32,Kra Corporation,"Silver Springs, Maryland",Legal Services
"White House/Schultz, James D",33,Kaplan Development Group,"Jericho, New York",Legal Services
"White House/Schultz, James D",34,Acxiom Corporation,"Little Rock, Arkansas",Legal Services
"White House/Schultz, James D",35,Negotiatus,"New York, New York",Legal Services
"White House/Schultz, James D",36,"Merrill Lynch Pierce, Fenner & Smith","New York, New York",Legal Services
"White House/Schultz, James D",37,Transformacon,"Merritt Island, Florida",Legal Services
"White House/Scully, Bethany",1,Freedom Partners,"Arlington, Virginia",Deputy Director Member Relations
"White House/Scully, Bethany",2,Republican National Committee,"Washington, District of Columbia",Contractual Work
"White House/Shah, Raj",1,Republican National Committee,"Washington, District of Columbia",Research Director & Deputy Communications Director
"White House/Short, Marc",1,"Advance Strategies, LLC","Arlington, Virginia",Provide government relations and political consulting services to clients
"White House/Short, Marc",2,Club for Growth,"Washington, District of Columbia",Strategic political consulting
"White House/Short, Marc",3,National Republican Senatorial Committee,"Washington, District of Columbia",Strategic political consulting
"White House/Short, Marc",4,Marco Rubio for President,"Washington, District of Columbia",Strategic Political Consulting
"White House/Short, Marc",5,Susan B. Anthony List,"Washington, District of Columbia",Development and government relations consulting
"White House/Short, Marc",6,Mike Pence for Indiana,"Indianapolis, Indiana",Strategic political consulting.
"White House/Short, Marc",7,General Electric,"Washington, District of Columbia",Strategic political consulting
"White House/Short, Marc",8,Mike Pompeo for Congress,"Wichita, Kansas",Strategic political consulting
"White House/Short, Marc",9,Trump for America,"New York, New York",Strategic political consulting
"White House/Sifakis, George A",1,Axela Government Relations LLC,"Washington, District of Columbia",Chief Executive Officer - responsible for day to day operations and meeting outreach and coordination on behalf of clients.
"White House/Sifakis, George A",2,HOSA Future Health Professionals,"Dallas, Texas",Coordination of Meetings and events
"White House/Sifakis, George A",3,AARP,"Washington, District of Columbia",Coordination of Meetings and events
"White House/Sifakis, George A",4,Global Good and Research by Intellectual Ventures,"Seattle, Washington",Coordination of Meetings and Events
"White House/Sifakis, George A",5,Lumina Foundation,"Indianapolis, Indiana",Coordination of Meetings and Events
"White House/Sifakis, George A",6,Amway,"Ada, Michigan",Coordination of Meetings and Events
"White House/Simms, Cindy",1,Townsend Public Affairs,"Washington, District of Columbia",Federal advocacy for multiple cities located within the state of California.
"White House/Simms, Cindy",2,City of Buena Park,"Buena Park, California",Federal advocacy
"White House/Simms, Cindy",3,City of Dinuba,"Dinuba, California",Federal advocacy
"White House/Simms, Cindy",4,City of Tulare,"Tulare, California",Federal advocacy
"White House/Simms, Cindy",5,City of Turlock,"Turlock, California",Federal advocacy
"White House/Simms, Cindy",6,City of Emeryville,"Emeryville, California",Federal advocay
"White House/Simms, Cindy",7,City of Fullerton,"Fullerton, California",Federal advocacy
"White House/Sims, Cliff",1,Yellowhammer Multimedia,"Birmingham, Alabama",Oversaw all company employees and activities.
"White House/Sims, Cliff",2,Yellowhammer Strategies,"Birmingham, Alabama",Oversaw all company activities.
"White House/Sims, Cliff",3,"Donald J. Trump for President, Inc.","New York City, New York",Advised the campaign on matters related to communications.
"White House/Sims, Cliff",4,Trump for America,"Washington, District of Columbia",Advised the Presidential transition on matters related to communications.
"White House/Spicer, Sean",1,Republican National Committee,"Washington, District of Columbia",Communications Director and Chief Strategist
"White House/Stepien, Bill",1,Amaya,"Isle of Man, Outside U.S.",Consultant
"White House/Stepien, Bill",2,Assembly Republican Victory,"Colonia, New Jersey",Consultant
"White House/Stepien, Bill",3,"Building a Better New Jersey Together, Inc","Ocean, New Jersey",Consultant
"White House/Stepien, Bill",4,PECB,"Brick, New Jersey",Consultant
"White House/Stepien, Bill",5,Chris Russell Consulting,"Jackson, New Jersey",Consultant
"White House/Stepien, Bill",6,Clover Consulting Group,"Pennington, New Jersey",Consultant
"White House/Stepien, Bill",7,Committee to Elect John Sierchio,"Basking Ridge, New Jersey",Consultant
"White House/Stepien, Bill",8,Feenan for Sheriff,"Woodland Park, New Jersey",Consultant
"White House/Stepien, Bill",9,Florio and Perrucci,"Phillipsburg, New Jersey",Consultant
"White House/Stepien, Bill",10,FLS Direct,"Saint Paul, Minnesota",Consultant
"White House/Stepien, Bill",11,GOPAC,"Washington, District of Columbia",Consultant
"White House/Stepien, Bill",12,CTE Midgley and Nuttall,"Little Egg Harbor, New Jersey",Consultant
"White House/Stepien, Bill",13,Middlesex County Republican Organization,"Old Bridge, New Jersey",Consultant
"White House/Stepien, Bill",14,Ocean County GOP,"Toms River, New Jersey",Consultant
"White House/Stepien, Bill",15,Owen Henry for Mayor,"Old Bridge, New Jersey",Consultant
"White House/Stepien, Bill",16,Somerset County Republican Organization,"Somerville, New Jersey",Consultant
"White House/Stepien, Bill",17,Donald Trump for President,"New York, New York",Field Director/Consultant
"White House/Stepien, Bill",18,Nassau Strategies LLC,"Hackettstown, New Jersey",Consultant
"White House/Talento, Kathryn",1,Donald J. Trump for President Inc,"New York, New York","Advise candidate(s) on health related policy, make recommendations on policy positions and commitments."
"White House/Teller, Paul",1,Conservative Action Network,"Washington, District of Columbia","Deputy Director (Helping create strategic partnerships with other nonprofits, form the branding for the organization, identify state and local leaders for our organization, develop the website and other messaging, write the strategic plan, and implement the office budget and other administrative items)"
"White House/Thompson, Andrea",1,McChrystal Group,"Alexandria, Virginia","Director, McChrystal Group Leadership Institute"
"White House/Walsh, Katie",1,The Endicott Group,"Washington, District of Columbia",fundraising consulting services
"White House/Walsh, Katie",2,Republican National Committee,"Washington, District of Columbia",
"White House/Walsh, Katie",3,The MLM Group,"Washingon, District of Columbia",Consulting
"White House/Walters, Lindsay",1,Republican National Committee,"Washington, District of Columbia",Press Secretary
"White House/Walters, Lindsay",2,State of Illinois,"Chicago, Illinois",Press Secretary
"White House/Westerhout, Maedeleine",1,Republican National Committee,"Washington, District of Columbia",Executive Assistant to the Chief of Staff.
"White House/Worthington, Ross",1,"Trump for America, Inc. (Trump Presidential Transition)","Washington, District of Columbia",
"White House/Worthington, Ross",2,Gingrich Productions,"Arlington, Virginia",
